,blcdb9-I,263d3f-I,c4155b-C
SLC3A2,-0.49,-0.83,-0.59
SLC41A3,NA,NA,NA
SLC43A2,0.72,0.13,0.22
SLC43A3,NA,NA,NA
SLC44A1,0.02,0.39,0.51
SLC44A2,0.13,0.04,0.25
SLC44A4,-0.97,-0.23,-0.66
SLC4A1,2.38,1.23,2.97
SLC4A10,NA,NA,NA
SLC4A1AP,-1.08,-0.15,-0.7
SLC4A2,-0.56,-0.56,-0.19
SLC4A7,-0.6,-0.11,-0.32
SLC50A1,NA,NA,NA
SLC5A1,NA,NA,NA
SLC5A3,NA,NA,NA
SLC5A6,0,-0.41,-0.29
SLC6A14,-1.17,-0.53,-0.58
SLC6A9,NA,NA,NA
SLC7A1,-2.54,-1.49,-1.17
SLC7A2,-0.35,-0.49,-0.13
SLC7A5,-3.05,-1.43,-1.21
SLC7A6OS,1.12,0.08,0.35
SLC7A8,NA,NA,NA
SLC8A1,NA,NA,NA
SLC9A1,0.12,0.12,0.1
SLC9A3R1,-0.71,-0.3,-0.89
SLC9A3R2,-0.46,0.59,0.52
SLC9A7,NA,NA,NA
SLC9A8,-0.82,-0.68,-0.26
SLC9A9,NA,NA,NA
SLCO2A1,NA,NA,NA
SLF1,NA,NA,NA
SLFN11,-1.04,0.17,0.1
SLFN13,NA,NA,NA
SLFN5,0.2,-0.08,0.29
SLIRP,-0.98,-0.69,-0.38
SLIT2,0.39,0.81,1.06
SLIT3,1.72,1.16,1.64
SLITRK6,1.84,-0.31,0.96
SLK,-1.27,-0.25,-0.28
SLMAP,0.07,-0.14,-0.26
SLPI,-2.32,0.82,-0.32
SLTM,-2.07,-0.37,-0.93
SLU7,-2.15,-0.39,-0.72
SLX4,NA,NA,NA
SLX4IP,NA,NA,NA
SMAD1,-1.19,0.48,0.03
SMAD2,-0.58,-0.24,-0.55
SMAD3,-0.02,0.17,0.35
SMAD4,0.81,0.53,0.61
SMAD5,-1.57,0.04,-0.26
SMAP1,-0.34,-0.36,-0.58
SMAP2,0.47,-0.02,0.11
SMARCA1,-1.01,0.05,-0.38
SMARCA2,-1.22,0.06,-0.5
SMARCA4,-1.43,-0.2,-0.73
SMARCA5,-0.81,-0.6,-0.79
SMARCAD1,-0.02,-0.2,-0.36
SMARCAL1,0.47,0.46,0.03
SMARCB1,0.75,0,-0.17
SMARCC1,-1.25,-0.85,-1.02
SMARCC2,-0.2,0.02,-0.3
SMARCD1,0.95,0.42,0.21
SMARCD2,0.34,0.01,-0.13
SMARCD3,-1.24,0.49,-0.44
SMARCE1,-1.07,-0.15,-0.65
SMC1A,-0.86,-0.17,-0.48
SMC2,-0.03,-0.5,-0.37
SMC3,-0.74,-0.16,-0.36
SMC4,-1.21,-0.76,-0.81
SMC5,0.45,0.16,0.04
SMC6,-1.48,-0.49,-0.69
SMCHD1,-0.44,-0.01,-0.32
SMCO3,NA,NA,NA
SMCR8,0.11,0.18,0
SMDT1,-0.45,0.44,0.46
SMG1,0.1,-0.04,-0.03
SMG5,0.91,0.01,0.13
SMG6,-1.21,0.31,0.13
SMG7,-0.94,-0.34,-0.68
SMG8,-0.23,-0.23,-0.18
SMG9,0.58,0.26,0.35
SMIM1,NA,NA,NA
SMIM12,-2.42,-0.66,-1.03
SMIM19,NA,NA,NA
SMIM20,0.61,0.57,0.56
SMIM8,2.39,1.12,1.57
SMN1,-1.94,-0.68,-1.15
SMNDC1,-0.74,-0.15,-0.69
SMOC1,-0.96,0.4,0.37
SMOC2,-1.52,-0.23,0.07
SMPD1,1.87,0.47,0.17
SMPD2,-2.76,-0.59,-0.55
SMPD3,NA,NA,NA
SMPD4,-0.16,-0.35,0.13
SMPDL3A,0.11,0,-0.06
SMPDL3B,1.97,0.88,0.37
SMR3B,NA,NA,NA
SMS,-0.39,-0.13,-0.72
SMTN,-0.69,0.19,0.87
SMU1,0.09,-0.19,-0.26
SMUG1,-0.35,0.86,0.16
SMURF1,NA,NA,NA
SMURF2,-0.67,0.83,1.01
SMYD1,NA,NA,NA
SMYD2,-1.24,-0.14,-0.23
SMYD3,-0.33,-0.13,-0.24
SMYD4,-2.04,-0.1,-0.16
SMYD5,-0.37,-0.4,-0.73
SNAP23,-1.76,-0.27,-0.89
SNAP29,-1.01,-0.24,-0.56
SNAP47,0.49,-0.14,-0.02
SNAPC1,-2.44,-0.78,-1.06
SNAPC2,NA,NA,NA
SNAPC3,NA,NA,NA
SNAPC4,-1.13,-0.22,-0.59
SNAPC5,NA,NA,NA
SNAPIN,1.69,0.37,0.48
SNCA,2.73,1.7,3.12
SNCB,NA,NA,NA
SNCG,0.93,0.99,1.43
SND1,0.18,-0.33,-0.2
SNED1,0.91,1.46,1.83
SNF8,0.36,-0.2,0.12
SNIP1,-1.76,-0.38,-0.18
SNPH,NA,NA,NA
SNRK,-2.39,0.03,-0.12
SNRNP200,-0.46,-0.51,-0.68
SNRNP25,NA,NA,NA
SNRNP27,-0.43,0.17,-0.51
SNRNP35,NA,-0.86,-0.95
SNRNP40,0.03,-0.11,-0.13
SNRNP48,0.56,0.66,0.65
SNRNP70,-1,-0.41,-0.78
SNRPA,-0.47,-0.58,-0.35
SNRPA1,0.55,0.02,-0.2
SNRPB2,-0.92,-0.67,-0.97
SNRPC,0.28,-0.2,0.15
SNRPD1,0.63,0.01,-0.01
SNRPD2,-0.24,-0.38,-0.65
SNRPD3,-0.01,-0.31,-0.62
SNRPE,1.64,0.31,0.75
SNRPF,-0.05,-0.2,-0.81
SNRPG,-0.63,-0.44,-0.92
SNRPN,0.3,0.18,-0.15
SNTA1,2.39,1.32,1.59
SNTB1,0.5,0.59,1.09
SNTB2,1.33,1.04,1.28
SNU13,-0.45,0.15,-0.18
SNUPN,-0.83,-0.28,-0.45
SNW1,-0.09,0.09,-0.11
SNX1,-0.39,0.18,0.21
SNX10,-0.7,0.39,0.27
SNX11,NA,NA,NA
SNX12,0.44,0.26,0.22
SNX13,NA,NA,NA
SNX14,-1.35,-0.94,-1.29
SNX15,-0.28,0.27,0.29
SNX16,1.1,0.44,0.58
SNX17,1.2,0.37,0.57
SNX18,-0.17,0.23,0.25
SNX2,-0.22,0.23,0.19
SNX20,NA,NA,NA
SNX21,1.41,0.59,1.09
SNX24,-0.45,-0.26,-0.38
SNX27,-0.09,0.24,0.15
SNX29,-0.68,0.08,-0.06
SNX3,0.64,0.51,0.76
SNX30,-0.62,0.13,-0.21
SNX33,1.26,0.8,1.05
SNX4,0.18,0.45,0.48
SNX5,0.54,0.14,0.45
SNX6,0.08,0.13,0.34
SNX7,-0.96,-0.2,-0.09
SNX8,0.12,-0.04,0.01
SNX9,1.1,0.37,0.61
SOAT1,-1.43,-0.94,-0.66
SOCS6,0.43,0.19,0.14
SOD1,1.2,-0.13,0.18
SOD2,0.1,0.26,0.66
SOD3,2.07,1.92,2.72
SOGA1,-0.25,-0.05,-0.2
SON,-0.6,-0.23,-0.46
SORBS1,1.43,1.37,2
SORBS2,-0.14,0.93,0.46
SORBS3,-0.08,0.85,0.63
SORCS2,NA,NA,NA
SORD,0.66,-0.46,-0.33
SORL1,0.02,0.42,0.34
SORT1,-0.34,-0.34,-0.19
SOS1,-1.25,-0.01,-0.05
SOS2,0.51,0.57,0.74
SOWAHB,1.08,1.38,2.76
SOWAHC,-0.45,-0.14,-0.16
SOWAHD,NA,NA,NA
SOX10,NA,NA,NA
SOX13,-1.06,-0.5,-1.26
SOX4,NA,NA,NA
SOX5,NA,NA,NA
SOX7,NA,NA,NA
SOX9,-1.91,-0.67,-0.91
SP1,-2.58,-0.13,-0.95
SP100,-1.58,-0.73,-0.83
SP110,-0.43,-0.25,-0.08
SP140,-0.79,-1.98,-1.76
SP140L,-1.99,-0.18,-0.72
SP2,-1.25,0.22,-0.38
SP3,-2.01,-0.22,-0.92
SP4,1.35,0.5,0.52
SP6,NA,NA,NA
SPA17,NA,NA,NA
SPAG1,-0.48,-0.13,-0.7
SPAG5,-1.54,-0.95,-0.7
SPAG7,-1.2,0.13,-0.7
SPAG9,-1.02,-0.29,-0.19
SPANXB1,NA,NA,NA
SPARC,-0.41,-0.41,-0.22
SPARCL1,0.03,0.55,0.34
SPART,-0.58,0.01,-0.04
SPAST,0.38,0.14,0.31
SPATA13,-1.2,-0.39,-0.84
SPATA18,0.02,0.1,0.26
SPATA2,-0.81,-1.43,-1.47
SPATA20,0.11,-0.14,-0.02
SPATA33,2.05,0.54,0.4
SPATA5,1.25,0.49,0.47
SPATA5L1,0.16,0.33,0.09
SPATA6,1.75,0.58,1.13
SPATS2,-0.8,0.14,-0.28
SPATS2L,-1.58,-0.52,-0.56
SPC24,0.25,0,0.1
SPC25,-0.5,-0.41,-0.37
SPCS1,-1.18,-0.84,-0.56
SPCS2,-1.85,-1.11,-0.94
SPCS3,-0.37,-0.36,-0.43
SPDEF,-1.28,-0.24,-0.89
SPDL1,NA,NA,NA
SPECC1,-0.42,0.02,-0.05
SPECC1L,-0.36,-0.09,-0.03
SPEF2,3.14,2.03,3.47
SPEG,0.94,1.39,1.01
SPEN,-0.42,-0.04,-0.09
SPG11,0.1,0.09,0.08
SPG21,-0.94,-0.43,-0.13
SPG7,-0.86,-0.23,0.2
SPHK1,1.53,-0.02,-0.3
SPHK2,2.4,0.95,1.17
SPI1,-1.61,-0.81,-0.58
SPICE1,1.69,0.83,0.52
SPIDR,1.23,0.25,0.6
SPIN1,-0.19,0,-0.21
SPIN2A,1.59,0.92,1.3
SPIN3,NA,NA,NA
SPINT1,-0.81,0,-0.51
SPINT2,-1.58,-0.52,-0.47
SPIRE1,-0.42,0.26,0.02
SPNS1,0.69,0.04,0.52
SPOCK1,NA,NA,NA
SPOCK2,0.08,0.2,0.44
SPON1,0.11,0.39,0.95
SPON2,-0.52,-0.15,0.04
SPOP,1.02,0.2,0.14
SPOUT1,-0.31,0.33,0.22
SPP1,-0.99,-0.76,-0.48
SPP2,-0.42,0.85,0.16
SPPL2A,1.96,0.47,0.38
SPPL2B,NA,NA,NA
SPR,1.25,-0.07,-0.01
SPRED1,0.93,0.34,0.48
SPRED2,NA,NA,NA
SPRR1A,NA,NA,NA
SPRY1,NA,NA,NA
SPRY4,NA,NA,NA
SPRYD3,-0.16,0.09,-0.12
SPRYD4,0.93,0.1,0.25
SPRYD7,-1.17,-0.68,-0.42
SPSB3,NA,NA,NA
SPTA1,2.49,1.58,3.19
SPTAN1,0.34,0.24,0.57
SPTB,2.83,1.5,3.05
SPTBN1,0.68,0.41,0.82
SPTBN2,0.53,-0.57,-0.36
SPTBN4,2.99,1.31,2.65
SPTBN5,2.27,1.29,2.12
SPTLC1,-0.59,-0.31,-0.2
SPTLC2,-1.21,-0.34,-0.89
SPTLC3,NA,NA,NA
SPTY2D1,-1.8,-1.08,-1.05
SQLE,0.64,-0.07,0.1
SQOR,1.7,-0.01,-0.02
SQSTM1,0.32,-0.64,-0.38
SRA1,0.97,0.33,0.3
SRBD1,0.39,0.14,-0.01
SRC,-0.73,-0.33,-0.13
SRCAP,-0.24,-0.28,-0.21
SRCIN1,0.89,0.38,0.17
SRD5A3,-1.88,-1.52,-0.91
SREBF1,1.68,1.03,1.62
SREBF2,2.91,1.41,2.5
SREK1,0.52,-0.33,-0.48
SREK1IP1,-1.89,-0.18,0.03
SRF,-2.07,0.06,-0.03
SRFBP1,-1.95,-0.26,-0.47
SRGAP1,-0.39,0.08,-0.31
SRGAP2,0.37,0.22,0.49
SRGAP3,NA,NA,NA
SRGN,-2.83,-0.18,0.82
SRI,0.5,0.1,0.48
SRM,0.57,-0.35,-0.01
SRP14,-1.39,-0.63,-0.95
SRP19,0.86,-0.52,-0.09
SRP54,0.28,-0.44,-0.4
SRP68,-0.23,-0.71,-0.83
SRP72,-0.59,-0.46,-0.66
SRP9,-0.27,-0.28,-0.65
SRPK1,-1.17,-0.72,-0.72
SRPK2,-1.28,-0.61,-0.77
SRPRA,-0.13,-0.53,0.12
SRPRB,-1.04,-0.65,-0.26
SRPX,0.36,1.25,1.45
SRPX2,-0.42,0.04,0.2
SRR,-1.06,0.01,0.32
SRRM1,0.04,-0.41,-0.37
SRRM2,-0.89,-0.22,-0.56
SRRT,-1.23,-0.61,-0.94
SRSF1,0.58,-0.23,-0.26
SRSF10,0.08,-0.02,-0.11
SRSF11,0.48,0.09,-0.12
SRSF2,0.36,-0.04,-0.04
SRSF3,-1.3,-0.45,-0.73
SRSF4,-1.62,-0.88,-0.88
SRSF5,0.36,0.15,0.22
SRSF6,-1.69,-0.85,-0.75
SRSF7,-0.85,-0.33,-0.61
SRSF8,NA,-0.3,-1.18
SRSF9,0.05,0,-0.55
SRXN1,0.22,0.8,1.44
SS18,-1.17,-0.14,-0.71
SS18L1,0.21,0.09,-0.19
SS18L2,NA,NA,NA
SSB,-0.81,-0.52,-0.58
SSBP1,1.06,0.26,0.83
SSBP2,0.09,0.64,-0.15
SSBP3,-1.55,0.48,-0.23
SSBP4,NA,NA,NA
SSC5D,-1.31,1.05,1.12
SSFA2,0.68,-0.41,-0.39
SSH1,-0.11,-0.01,-0.24
SSH2,-0.36,0.3,0.2
SSH3,-0.47,0.18,-0.13
SSNA1,-0.57,-1.53,-1.45
SSR1,-0.81,-0.96,-1.16
SSR2,1.24,0.59,0.54
SSR3,-0.11,-0.57,-0.29
SSR4,-0.06,-0.55,-0.51
SSRP1,-1.15,-0.84,-0.99
SSSCA1,0.47,-0.25,-0.18
SSU72,-0.99,-0.59,-0.42
SSX1,NA,NA,NA
SSX2IP,0.77,0.72,0.68
ST13,0.02,-0.52,0.08
ST14,-0.4,-0.25,-0.62
ST3GAL1,0.37,-0.81,-0.53
ST3GAL4,NA,NA,NA
ST5,0.35,0.5,0.41
ST6GAL1,-0.36,0.34,-0.12
ST7,0.25,-0.02,0.78
STAB1,0.58,0.44,0.82
STAC2,-0.45,0.32,0.34
STAG1,-0.42,-0.16,-0.25
STAG2,-0.55,0.06,-0.15
STAG3,0.27,1.58,0.5
STAM,1.35,0.2,0.51
STAM2,0.97,0.22,0.08
STAMBP,0.27,0.01,0.09
STAMBPL1,0.71,0.17,0.25
STAP1,NA,NA,NA
STAP2,0.31,-0.31,-0.33
STARD10,1.31,1.2,-0.08
STARD13,-0.23,0.66,0.51
STARD3,0.86,0.12,0.6
STARD5,0.19,0.24,0.31
STARD7,-0.54,0.27,0.5
STAT1,-0.1,-0.82,-0.74
STAT2,-0.15,-0.29,-0.41
STAT3,0.18,-0.37,-0.34
STAT4,NA,NA,NA
STAT5A,0.25,0.39,0.84
STAT5B,1.05,0.44,0.81
STAT6,0.34,0.52,0.12
STAU1,0,-0.58,-0.46
STAU2,0.06,0,-0.11
STBD1,0.23,0.02,0.68
STC1,0.71,0.72,0.42
STC2,0.71,1.38,0.61
STEAP2,NA,NA,NA
STEAP3,-0.63,-0.29,-0.11
STEAP4,0.5,0,0.2
STIL,-2.07,-0.59,-1.02
STIM1,-0.26,0.1,0.21
STIM2,NA,-3.27,-2.21
STIP1,-0.88,-0.68,-0.28
STK10,-1.03,-0.2,-0.33
STK11,1.08,0.47,1
STK11IP,-0.13,-0.05,-0.16
STK16,0.22,0.18,0.24
STK17A,NA,NA,NA
STK17B,-0.41,-0.33,-0.28
STK19,-3.06,-0.52,-1.14
STK24,-0.6,0.19,-0.08
STK25,-0.56,0.01,0.05
STK26,-0.82,-0.44,-0.47
STK3,0.19,-0.12,-0.18
STK32C,0.25,-1.23,-1.56
STK35,1.59,0.75,1.94
STK38,-0.02,-0.08,0
STK38L,0.78,0.46,0.54
STK39,0.29,0.24,-0.02
STK4,-0.72,-0.24,-0.39
STMN1,-1.58,-1.09,-1.27
STMN3,-2.55,-0.18,0.19
STMND1,-2.61,-0.13,-0.87
STN1,0.3,0.72,0.44
STOM,0.69,0.84,2.24
STOML1,NA,NA,NA
STOML2,-0.01,-0.47,-0.31
STON1,0.04,0.06,0.46
STON2,0.43,0.47,0.54
STRADA,-0.32,0.29,0.04
STRAP,-0.67,-0.38,-0.51
STRBP,-0.49,-0.1,-0.86
STRIP1,1.03,0.23,0.48
STRIP2,NA,NA,NA
STRN,0.19,-0.18,-0.23
STRN3,-0.12,0.1,-0.02
STRN4,-0.9,-0.22,-0.4
STT3A,-1.77,-1.45,-1.38
STT3B,-1.02,-0.64,-0.46
STUB1,-0.04,0.18,0.01
STX10,-0.33,-0.23,0.03
STX11,1,0.68,1.51
STX12,0.2,-0.44,0.18
STX16,1.04,-0.18,0.4
STX17,-0.17,-0.25,-0.39
STX18,-0.63,-0.41,0.16
STX2,-1.72,0.03,0.17
STX3,-0.74,-0.11,-0.3
STX4,-1.25,0.03,0.24
STX5,-0.63,-0.61,-0.23
STX6,-0.85,-0.44,-0.1
STX7,-0.72,-0.21,0.67
STX8,1.31,0.35,0.7
STXBP1,1.17,0.86,1.62
STXBP2,-0.11,-0.13,-0.31
STXBP3,1.08,0.44,0.54
STXBP4,-0.54,0.06,0.16
STXBP5,1.22,0.59,0.86
STXBP6,1.87,1.34,3.32
STYX,-0.41,0.18,-0.52
SUB1,-0.14,-0.83,-0.78
SUCLA2,0.21,0.34,0.87
SUCLG1,-1.31,0,0.15
SUCLG2,0.42,-0.24,0.37
SUCO,-1.53,-0.61,-0.45
SUDS3,-0.49,-0.11,-0.37
SUFU,1.37,0.48,1.07
SUGCT,NA,NA,NA
SUGP1,0.35,0.1,-0.04
SUGP2,-0.85,-0.61,-0.86
SUGT1,-1.39,-0.58,-0.73
SULF1,-2.3,-1.24,-1.39
SULF2,-1.35,-1.06,-1.06
SULT1A1,1.96,0.43,1.12
SULT1A2,NA,NA,NA
SULT1A3,2.11,1.6,1.99
SULT1B1,NA,NA,NA
SULT1C2,NA,NA,NA
SULT1E1,NA,NA,NA
SULT2B1,0.09,-0.4,-0.2
SUMF1,0.65,0.01,0.27
SUMF2,-0.22,-0.54,-0.36
SUMO1,-2.91,-0.91,-0.82
SUMO2,-3.63,0.63,0.52
SUMO3,-2.62,0.22,-0.01
SUN1,-0.26,-0.03,0.11
SUN2,-0.23,-0.27,-0.05
SUOX,1.05,0.88,0.94
SUPT16H,-0.87,-0.48,-0.68
SUPT20H,-0.82,0.16,0.16
SUPT3H,0.36,0.27,0.48
SUPT4H1,0.71,0,-0.03
SUPT5H,-1.11,-0.62,-0.61
SUPT6H,-0.69,-0.25,-0.42
SUPT7L,-2.81,-0.18,-1.01
SUPV3L1,0.17,-0.09,-0.07
SURF1,2.17,0.67,1.07
SURF2,1.11,-0.09,0
SURF4,-0.76,-0.7,-0.38
SURF6,-2.31,-0.9,-1.2
SUSD2,0.26,0.28,0.43
SUSD3,NA,NA,NA
SUV39H1,2.49,2.75,4.86
SUV39H2,NA,NA,NA
SUZ12,0.8,-0.43,-0.58
SV2A,NA,NA,NA
SVBP,0.12,-0.39,-0.23
SVEP1,0.81,1.43,1.69
SVIL,-0.51,0.05,-0.01
SVIP,-0.13,1,0.95
SWAP70,-0.9,-0.29,-0.1
SWI5,NA,NA,NA
SWSAP1,NA,NA,NA
SYAP1,-0.22,-0.19,-0.46
SYBU,0.73,0.42,0.27
SYDE1,-1.07,0.4,0.15
SYDE2,-0.98,-0.14,-0.11
SYF2,-0.81,0.8,0.06
SYK,-0.57,0.05,-0.11
SYMPK,-0.55,-0.41,-0.53
SYN1,2.26,0.83,2.9
SYNC,-1.72,-0.8,-1.04
SYNCRIP,0.28,-0.61,-0.43
SYNE1,0.62,0.35,0.86
SYNE2,-0.15,-0.09,0.19
SYNE3,0.28,0.13,1.12
SYNGR1,NA,NA,NA
SYNGR2,-0.26,-0.21,-0.64
SYNJ1,0.23,0.15,0.41
SYNJ2,0.72,0.16,0.5
SYNJ2BP-COX16,-0.02,-0.23,-0.1
SYNM,0.92,1.48,1.24
SYNPO,0.28,0.79,0.7
SYNPO2,0.41,1.28,0.95
SYNRG,0.23,0.08,-0.21
SYPL1,0.03,-1,-0.97
SYT1,-1.46,-0.06,-0.79
SYT13,-0.69,-0.21,-0.7
SYT17,1.93,1.04,1.33
SYT7,NA,NA,NA
SYTL1,0.77,0.95,0.02
SYTL2,-0.72,-0.35,-0.42
SYTL3,-1.41,-0.86,-0.51
SYTL4,0.45,0.38,0.14
SYTL5,NA,NA,NA
SYVN1,-1.53,-1.5,-1.28
SZRD1,-0.87,-0.22,-0.32
SZT2,-1.47,-0.29,-0.3
TAB1,0.84,-0.03,0.26
TAB2,0.7,0.07,0.28
TAB3,0.89,0.47,0.58
TACC1,-0.52,0.25,0.45
TACC2,-0.28,-0.25,-0.02
TACC3,-0.73,-0.62,-0.62
TACO1,0.07,-0.39,0
TACSTD2,-1.03,-0.37,-0.64
TADA1,1.45,0.38,0.78
TADA2A,NA,NA,NA
TADA2B,1.91,0.96,1.1
TADA3,-0.15,0.34,0.21
TAF1,-0.76,-0.09,-0.14
TAF10,0.21,0.39,0.27
TAF11,NA,NA,NA
TAF12,-0.63,0.07,0
TAF13,NA,NA,NA
TAF15,0.06,-0.22,-0.16
TAF1B,2.28,NA,1.73
TAF1C,NA,NA,NA
TAF2,0.7,0.64,0.57
TAF3,0.95,1.48,0.02
TAF4,0.81,0.34,0.6
TAF5,0.05,0.12,-0.22
TAF5L,0.36,0.28,0.37
TAF6,0.44,0.02,0.09
TAF6L,-1.19,-0.23,-0.1
TAF7,-0.49,-0.11,-0.1
TAF8,-0.05,0.02,-0.07
TAF9,1.23,0.58,0.63
TAF9B,-0.27,0.06,-0.21
TAGAP,NA,NA,NA
TAGLN,-0.63,0,0.13
TAGLN2,-0.38,-0.42,-0.37
TAGLN3,NA,NA,NA
TALDO1,-0.88,0.03,0.09
TAMM41,0.96,0.06,0.08
TANC1,-0.89,-0.28,-0.12
TANC2,0.03,-0.03,-0.29
TANGO2,2.52,1.11,2.29
TANGO6,NA,NA,NA
TANK,0.6,0.6,0.97
TAOK1,-0.69,-0.12,-0.18
TAOK2,-0.6,-0.04,-0.11
TAOK3,-1.39,-0.13,-0.35
TAP1,0.06,-0.79,-0.46
TAP2,-0.81,-0.46,-0.25
TAPBP,-1.31,-1.23,-1.24
TAPBPL,-0.74,0.17,0.16
TAPT1,-1.9,-0.58,-0.46
TARBP1,-0.44,-0.37,-0.15
TARBP2,-0.68,0.12,-0.13
TARDBP,-0.87,-0.13,-0.45
TARS,0.28,-0.69,-0.66
TARS2,0.26,-0.1,-0.02
TARSL2,0.6,0.44,0.5
TASP1,1.43,0.87,0.9
TAT,NA,NA,NA
TATDN1,0.32,-0.15,0.24
TATDN2,-2.52,0.16,0.49
TATDN3,2.13,0.34,0.8
TAX1BP1,-0.64,-0.41,-0.57
TAX1BP3,0.67,0.2,0.27
TAZ,NA,NA,NA
TBC1D1,0.6,-0.07,0.03
TBC1D10A,-0.02,0.02,-0.11
TBC1D10B,-0.53,-0.24,-0.19
TBC1D10C,1.05,0.34,0.13
TBC1D12,-0.1,0.47,0.36
TBC1D13,1.38,0.38,0.62
TBC1D14,-3.43,-0.6,0.52
TBC1D15,-0.47,-0.08,-0.38
TBC1D16,-1.7,-0.66,-0.55
TBC1D17,0.67,0.31,0.38
TBC1D2,-0.12,-0.21,-0.03
TBC1D20,0.05,-0.04,0.5
TBC1D22A,-0.29,-0.08,0.1
TBC1D22B,-1.61,-0.99,-1.21
TBC1D23,0.22,-0.18,-0.12
TBC1D24,1.13,0.26,0.56
TBC1D25,-0.25,0.01,-0.24
TBC1D2B,-0.43,0.22,0.2
TBC1D30,-1.97,-0.34,-0.9
TBC1D31,0.53,-0.18,-0.47
TBC1D4,0.04,-0.09,-0.06
TBC1D5,0.2,-0.01,-0.01
TBC1D7,2.03,0.74,0.84
TBC1D8,-2.31,-0.53,-0.69
TBC1D8B,-0.64,-0.27,-0.25
TBC1D9,0.19,0.14,-0.34
TBC1D9B,-0.52,-0.1,-0.21
TBCA,-1.88,0.1,-0.27
TBCB,-0.42,-0.08,-0.19
TBCC,0.84,0.06,0.1
TBCD,-0.5,-0.41,-0.55
TBCE,-0.03,-0.43,-0.26
TBCEL,1.58,0.49,1.21
TBCK,0.78,0.36,0.31
TBK1,-0.45,-0.05,-0.13
TBKBP1,NA,NA,NA
TBL1X,0.31,0.28,0.41
TBL1XR1,0.51,-0.26,-0.31
TBL2,-0.61,-0.19,0.21
TBL3,0.25,-0.08,-0.17
TBP,-0.57,-0.09,-0.18
TBPL1,NA,NA,NA
TBRG1,NA,NA,NA
TBRG4,0.18,-0.58,-0.15
TBX1,NA,NA,NA
TBX3,-1.15,-0.21,-0.42
TBXAS1,0.31,0.09,0.22
TC2N,-0.55,-0.6,-0.42
TCAF1,0.54,0.17,0.07
TCAF2,-0.76,-0.12,-0.18
TCEA1,0.18,-0.02,-0.31
TCEA2,NA,NA,NA
TCEA3,0.01,0.15,-0.56
TCEAL1,-0.76,0.19,-0.43
TCEAL3,-1.54,-0.17,-0.69
TCEAL4,-1.48,-0.23,-0.92
TCEAL8,NA,NA,NA
TCEANC2,NA,NA,NA
TCERG1,-0.67,-0.18,-0.51
TCF12,-0.21,0.48,0.01
TCF20,-0.91,-0.22,-0.21
TCF25,-1.16,-0.41,-0.93
TCF3,0,-0.08,-0.78
TCF4,-1.42,0.43,-0.12
TCF7L1,NA,NA,NA
TCF7L2,-1.81,-0.68,-1.5
TCHP,1.31,0.84,1.02
TCIRG1,0.55,-0.41,-0.31
TCL1A,NA,NA,NA
TCN1,1.52,1.82,0.61
TCN2,1.63,0.63,1.15
TCOF1,-1.96,-0.63,-0.95
TCP1,0.64,-0.4,0.06
TCP11L1,1.15,0.55,0.91
TCP11L2,NA,NA,NA
TCTEX1D2,NA,NA,NA
TCTN1,1.79,0.3,1.12
TCTN3,NA,NA,NA
TDG,0.1,0.35,0.03
TDP1,-0.19,0.17,-0.1
TDP2,-0.03,-0.54,-0.57
TDRD1,-1.72,-0.54,-0.2
TDRD12,NA,NA,NA
TDRD3,-0.78,0.18,-0.07
TDRD7,0.82,0.42,0.35
TDRD9,NA,NA,NA
TDRKH,-0.31,-0.27,0.43
TDRP,-2.62,-0.75,-0.65
TEAD1,1.44,0.61,0.38
TEAD3,0.4,0.41,0.25
TEAD4,NA,NA,NA
TECPR1,-0.82,0.06,0.06
TECPR2,1.21,0.24,0.44
TECR,-1.57,-0.99,-0.79
TEDC1,NA,NA,NA
TEFM,-0.1,-0.16,0.39
TELO2,1.27,0.36,0.63
TEN1,1.9,1.04,1.03
TENM3,NA,NA,NA
TENM4,NA,NA,NA
TEP1,0.04,-0.08,0.03
TEPSIN,-1.04,-0.4,-0.83
TERF1,NA,-1.46,-1.59
TERF2,-0.5,0.08,-0.12
TERF2IP,-0.66,-0.4,-0.72
TES,-1.5,0.02,-0.16
TESC,NA,NA,NA
TESK1,-1.07,1.04,0.32
TESK2,0.62,0.35,0.07
TESMIN,2.09,1.17,0.96
TET3,NA,NA,NA
TEX10,-0.35,-0.1,-0.45
TEX13C,NA,NA,NA
TEX2,-0.34,-0.66,-0.52
TEX264,-1.05,-0.69,-0.59
TEX30,2.49,0.76,0.96
TEX9,NA,NA,NA
TF,1.73,1.6,2.3
TFAM,-0.24,0.28,0.22
TFAP2A,-0.94,-0.16,-0.69
TFAP2B,1.23,0.21,0.52
TFAP2C,1.01,-0.08,0.04
TFAP4,0.17,0.13,0.07
TFB1M,1.69,0.02,0.58
TFB2M,0.06,-0.6,-0.74
TFCP2,1.01,0.89,0.92
TFCP2L1,-3.36,-0.06,-1.03
TFDP1,0.61,-0.32,-0.19
TFDP2,2.1,0.6,1.43
TFE3,-0.24,-0.36,-0.58
TFEB,-0.27,-0.56,-0.57
TFEC,0.5,0.42,0.41
TFF1,-2.37,-0.4,-0.82
TFF3,-0.03,0.81,-0.24
TFG,0.66,0.07,0.15
TFIP11,-0.53,-0.32,-0.4
TFPI,2.01,1.56,2.15
TFPI2,1.08,1.57,0.73
