,C3N-00439,C3L-01955,C3L-01962,C3N-02818,C3N-01803,C3N-00243,C3N-02261,C3N-01903,C3N-00496,C3N-03021,C3L-01279,C3N-01650,C3L-01865,C3L-02212,C3N-01653,C3N-02440,C3N-00958,C3N-01652,C3L-02210
RRP7A,-0.34,0.22,-0.52,-0.41,-0.09,-0.5,-0.36,-0.32,-0.09,-0.34,-0.32,-0.09,-0.91,-0.08,-0.27,-0.42,-0.13,-0.54,0.04
RRP8,-0.04,-0.27,-0.38,-0.53,0.01,-0.7,-0.42,-0.52,-0.3,-0.11,-0.7,-0.06,-0.41,-0.34,-0.35,-0.55,0.2,-0.13,-0.29
RRP9,-0.1,0.1,-0.01,-0.01,0.35,-0.21,-0.06,-0.42,0.01,-0.08,-0.02,0.19,0.18,0.15,-0.09,-0.17,-0.19,-0.13,0.4
RRS1,-0.79,-0.46,-0.58,0.05,0.03,-0.3,-1.15,-0.07,-0.45,-0.45,-0.48,-0.01,-0.53,-0.29,-0.53,-0.22,-0.09,-0.15,-0.13
RSAD1,-0.12,-0.08,0.04,0.03,-0.47,-0.1,-0.28,0.14,0.02,-0.22,-0.03,NA,0.29,-0.27,NA,0.17,-0.24,-0.03,-0.41
RSBN1,-0.39,-0.85,-0.67,-0.14,0.39,-0.37,-0.25,-0.13,-0.51,-0.52,-0.45,0.04,-0.68,-0.75,0.15,-0.01,0.19,-0.59,0.01
RSBN1L,NA,0.58,0.84,-0.12,0.11,0.3,0.75,0.06,NA,NA,0.74,-0.58,1.19,1.25,0.14,-0.22,-0.6,0.42,1.72
RSF1,-0.08,-0.07,-0.11,-0.02,0.21,-0.28,-0.09,-0.2,-0.07,0.05,0.27,0.5,-0.08,-0.06,0.26,-0.12,-0.3,-0.15,0.45
RSL1D1,-1.09,-1.14,0.1,-0.25,-0.72,-0.4,-1.19,-1.18,-0.07,-0.12,-0.53,0.14,-0.39,-0.73,-0.27,-0.86,-0.58,-0.47,-0.08
RSL24D1,-0.29,0.46,-0.05,-0.38,0.29,-0.04,-0.03,-0.7,-0.16,-0.42,-0.04,0.46,0.16,0.36,-0.06,-0.29,-0.4,-0.24,0.27
RSPRY1,0.14,0.43,0.13,0.01,0.06,0.11,0.33,0.37,0.08,-0.21,-0.14,-0.25,0.21,0.25,-0.01,0.15,0.3,0.14,-0.2
RSRC1,0.06,-0.27,0.23,-0.2,0.08,-0.19,-0.09,-0.23,-0.01,-0.21,0.63,0.09,1.21,-0.45,-0.04,-0.24,-0.3,-0.21,-0.24
RSRC2,0.21,0.21,-0.19,0.23,0.22,0.07,0.31,0.29,0.18,0.26,0.31,0.27,-0.11,0.07,0.32,0.56,-0.05,0.12,0.29
RSU1,-0.13,-0.01,-0.01,0.13,0.2,-0.01,0.11,0.02,-0.04,0.15,0.43,0.53,0.02,0.01,0.11,-0.02,0.07,0.09,0.47
RTCA,0.59,0.52,0.48,-0.05,0.09,0.37,0.33,0.48,0.38,0.19,-0.07,-0.44,0.36,0.33,-0.1,0.32,0.46,0.35,-0.33
RTCB,0.11,0.1,-0.06,0,0.06,0.02,0.15,0.03,0.07,-0.03,0.2,0.14,0.04,0.01,0.12,0.07,0.07,0.07,0.05
RTF1,-0.16,-0.14,-0.04,0.03,0.08,-0.15,-0.18,-0.23,-0.12,-0.09,0.13,0.27,-0.23,-0.09,-0.04,-0.12,-0.19,-0.16,0.3
RTF2,-0.27,0.2,0.05,0.02,0.27,-0.02,0.15,0.21,-0.14,-0.19,0.32,0.37,0.21,-0.11,0.31,0.21,0.01,0.04,0.56
RTKN,0.21,0.62,0.29,0.32,0.09,0.4,0.15,0.43,0.01,0.07,-0.02,-0.32,0.41,-0.01,-0.15,0.44,0.28,0.58,-0.59
RTL8C,-0.65,-0.36,-0.56,-0.6,-0.25,-0.18,-0.2,-0.4,-0.54,-0.68,-0.11,0.1,-0.42,-0.35,0.01,-0.56,-0.49,-0.17,0.18
RTN1,-0.19,-0.29,0,0.19,0.36,0.07,-0.75,-0.58,-0.5,-0.41,-0.25,0.2,-0.28,0.05,-0.21,-0.52,0.01,0.05,0.84
RTN2,-0.04,-0.54,-0.4,-0.09,-0.16,NA,NA,-0.34,-0.21,-0.02,-0.47,0.27,-0.58,-0.02,0.37,-0.33,-0.88,NA,0.7
RTN3,0.1,0.11,0.26,0.28,0.23,0.14,0.19,-0.11,0.96,0.24,0.16,0.46,0.26,0.43,1.87,-0.31,0.37,-0.03,0.43
RTN4,-0.02,-0.09,-0.01,0.05,0.16,0.04,0.14,-0.05,-0.08,0.1,-0.34,-0.04,-0.27,-0.14,0.23,-0.02,-0.04,0.01,0.09
RTN4IP1,0.27,0.25,0.13,-0.04,-0.11,0.19,0.45,0.33,0.47,0.04,0.09,-0.83,0.42,0.34,0.43,0.35,0.34,0.43,-0.53
RTRAF,0.13,0,-0.04,-0.03,0.15,0.02,0.22,-0.07,0.09,-0.04,0.11,0.15,-0.08,-0.13,0.15,0.06,0.03,0.04,0.09
RUBCN,-0.03,-0.17,-0.17,NA,0.29,-0.38,-0.27,NA,-0.01,-0.05,-0.47,-0.01,-0.54,-0.17,-0.44,NA,0.01,-0.06,-0.14
RUFY1,-0.18,-0.36,-0.28,-0.01,-0.17,-0.19,-0.32,-0.35,-0.07,-0.11,-0.24,0.1,-0.33,-0.21,-0.1,-0.21,-0.18,-0.05,-0.07
RUFY2,0.07,-0.09,0.16,0.15,0.01,0.23,-0.02,0.02,0.06,-0.08,0.13,0.17,-0.01,-0.06,0.09,0.13,0.16,0.1,-0.09
RUFY3,0.13,-0.23,0.04,-0.01,-0.24,0.04,-0.1,-0.11,-0.08,-0.5,0.01,-0.12,-0.11,-0.26,-0.16,0.22,0.11,0.22,-0.58
RUNDC1,NA,NA,0.51,-0.26,NA,0.47,0.21,-0.07,NA,NA,-0.41,0.09,-0.62,NA,0.18,-0.38,NA,0.68,NA
RUSC2,0.35,-0.61,-0.22,NA,0.25,NA,-0.68,NA,0.01,0.58,-0.76,-0.24,0.57,NA,0.22,NA,0.32,-18.11,0.38
RUSF1,0.12,0.03,0,0,0.01,0.06,-0.16,0.13,-0.05,0.05,-0.22,-0.39,0.16,0.12,0.08,-0.08,0.11,0.03,0.08
RUVBL1,-0.09,-0.21,-0.05,-0.07,-0.04,-0.27,-0.21,-0.24,-0.21,-0.17,0.04,-0.05,-0.26,-0.21,-0.05,-0.18,-0.25,-0.28,0.04
RUVBL2,-0.03,-0.15,-0.09,0,-0.04,-0.16,-0.12,-0.19,-0.14,-0.19,0.07,-0.06,-0.07,-0.21,-0.03,0,-0.17,-0.19,-0.04
RWDD1,-0.14,-0.06,-0.17,-0.06,-0.17,0.33,-0.03,0.04,-0.07,0.25,0.08,-0.13,-0.04,-0.29,0,-0.01,0.26,-0.13,-0.25
RWDD4,0.18,0.07,0.76,-0.02,-0.17,-0.09,0.01,0.31,0.26,-0.31,0.37,-0.07,0.4,-0.03,0.02,0.14,-0.17,0.11,-0.35
RXRA,0.11,0.46,0.47,0.21,-0.01,0.25,0.41,0.31,-0.42,0.17,0.3,0.59,0.28,0.11,0.17,0.32,0.46,0.47,0.04
RXRB,-0.42,-0.14,-0.12,-0.25,0.41,0.29,0.37,-0.05,-0.46,-0.17,0.18,0.14,-0.01,0.12,0.32,-0.21,-0.06,0.24,0.22
RYBP,-0.61,0.67,-0.19,0.1,0.06,-0.08,-0.11,-0.34,-0.62,-0.39,0.3,0.47,-0.15,0.28,0.38,-0.03,-0.29,-0.15,0.69
RYR1,0.56,-0.07,0.36,-0.77,-0.37,NA,NA,-0.32,0.02,0.02,-0.23,NA,0.71,0.09,NA,-0.56,0.22,NA,0.22
S100A1,-0.45,-1.13,-1.05,-1.21,-0.4,-0.56,-0.86,-1.59,-0.31,-0.75,-0.92,-1.55,-1.16,-0.74,-0.56,-1.3,-0.83,-0.7,-1.46
S100A10,-0.73,-0.87,-0.36,-0.19,-0.17,-0.25,-0.57,-0.82,-0.27,-0.02,-0.57,0.24,-0.75,-0.49,-0.13,-0.52,-0.19,-0.75,-0.03
S100A11,-0.83,-0.57,-0.7,-0.52,0.11,-0.66,-0.75,-1.12,-0.4,-0.62,-0.36,0.24,-0.64,-0.26,-0.31,-0.74,-0.85,-0.95,0.01
S100A12,-1.37,-1.4,0.03,0.18,-0.19,-0.33,-0.03,-0.47,-0.72,-1.04,-1.86,0.29,-1.73,-0.36,-0.45,-0.32,-0.12,-0.28,-0.16
S100A13,-0.27,-0.26,-0.63,-0.19,0.56,-0.43,-0.19,-0.94,-0.27,-0.04,0.18,0.34,-0.83,-0.48,0.57,-0.63,-0.34,-0.47,0.28
S100A14,NA,-0.04,-0.24,NA,NA,-0.03,-0.18,NA,NA,NA,0.62,NA,-0.12,0.28,NA,NA,NA,-1.86,0.92
S100A16,-0.23,-0.51,-0.63,-0.18,0.75,-0.66,-0.18,-0.85,0.11,0.31,0.02,0.14,-0.69,-0.48,-0.15,-0.42,-0.55,-0.44,0.24
S100A2,-0.3,-0.06,1.36,1.03,3.51,-0.19,-0.25,-1.12,0.65,0.03,1.24,1.81,-0.54,-0.14,-0.99,-0.17,0.97,0.15,0.51
S100A4,-0.73,-0.83,-0.83,-0.29,0.18,-0.79,-0.59,-1.19,-0.57,-0.44,-0.03,0.57,-0.89,-0.24,0.47,-1.14,-0.44,-0.99,0.76
S100A6,-0.35,-0.43,-0.29,-0.13,0.02,0.08,-0.16,-0.43,0.04,0.3,-0.04,1.13,-0.29,0.02,0.8,-0.2,-0.09,-0.37,0.33
S100A8,-1.08,-1.32,-0.17,0.79,0.02,-0.51,-0.87,-0.75,-0.42,-0.23,-1.18,0.48,-1.41,-0.64,-0.7,-0.22,0.06,-1.25,-0.29
S100A9,-1.11,-0.2,0.37,0.86,-0.3,-0.24,-0.13,-0.44,-0.1,0.08,-0.29,0.91,-0.6,-0.19,-0.52,-0.26,0.42,-0.52,-0.14
S100B,0.09,-0.34,-0.65,1.24,1.27,1.06,0.61,-0.03,-0.13,0.5,1.72,1.44,-0.4,1.12,0.98,-0.37,0.21,0.37,1.19
S100P,-1.98,-0.01,-0.59,-0.14,0.37,-0.15,-0.23,-0.35,-0.8,-0.47,-3.37,-0.02,-1.91,-0.1,0.76,-0.21,0.75,0.29,-0.32
SAA1,-3.12,-3.45,-3.24,-3.11,-1.4,-3.01,-3.08,-2.55,-2.57,-3,-2.46,-1.41,-2.55,-2.64,2.87,-1.65,-2.13,-2.87,-2.45
SAA2-SAA4,-1.39,-2.05,-0.75,-0.79,0.63,-0.29,-0.34,-0.7,-0.09,-0.31,-0.13,-0.3,0.15,-0.86,0.31,-0.41,0.84,-1.13,-0.44
SAAL1,-0.16,-0.55,-0.08,-0.2,-0.24,-1.25,-0.75,-0.41,-0.27,-0.32,0.01,0.27,-0.09,-0.17,-0.12,-0.51,-0.42,-1.08,0.31
SACM1L,0.55,0.49,0.57,0.5,0.17,0.39,0.38,0.6,0.12,0.19,0.05,0.11,0.48,0.45,0.69,0.55,0.33,0.45,0.15
SACS,0.09,0.64,-0.65,0.6,-0.24,-0.68,-0.81,0.41,-0.2,0.84,-0.36,-0.36,-0.81,0.2,-0.6,0.41,1.16,-0.73,-1.21
SAE1,-0.2,-0.27,-0.16,-0.09,0.13,-0.12,-0.16,-0.12,-0.29,-0.27,-0.23,0.45,-0.27,-0.22,0,-0.15,-0.24,-0.26,0.28
SAFB,0.09,0.01,0.08,0.21,0.45,0.05,0.18,-0.03,0.11,0.05,0.33,0.69,0.04,0.02,0.5,0.19,0.12,0.08,0.42
SAFB2,0.31,0.31,0.03,0.29,0.26,0.3,0.48,0.35,0.31,0.24,0.2,0.35,0.15,0.25,0.34,0.35,0.24,0.56,0.3
SALL1,0.33,NA,0.24,0.35,NA,0.23,0.9,0.29,0.4,0.16,0.43,NA,0.38,NA,NA,0.85,NA,0.46,NA
SAMD1,0.28,-0.25,-0.18,0,0.15,-0.06,-0.04,-0.3,0.48,0.46,-0.06,-0.15,0.05,0.03,-0.06,-0.13,0.06,0.15,0.43
SAMD4A,0.34,-0.45,-0.25,0.53,0.44,0.13,1.29,-0.14,0.11,0.06,0.07,0.24,-0.23,-0.27,0.35,0.5,-0.43,0.45,0.19
SAMD4B,-0.31,-0.12,-0.19,-0.17,-0.29,-0.04,-0.25,-0.28,-0.28,-0.03,-0.09,0,-0.24,-0.17,-0.13,-0.53,-0.19,-0.03,-0.24
SAMD9,-0.48,-0.29,-0.37,-0.06,0.03,-0.39,-0.29,-0.31,-0.54,-0.43,-0.27,0.18,-0.47,-0.09,-0.35,-0.36,-0.27,-0.56,0.44
SAMD9L,-0.66,-0.15,-0.41,-0.37,-0.24,-0.06,-0.2,-0.28,-0.5,-0.28,-0.47,-0.35,-0.47,0.04,-0.26,-0.83,-0.48,-0.88,0.56
SAMHD1,-1.18,-1.37,-0.7,-0.05,0.32,-1.07,-0.93,-1.55,-0.71,-0.8,-0.4,0.61,-1.26,-0.53,-0.85,-1.21,-1.07,-1.02,0.74
SAMM50,0.6,0.7,0.55,0.3,0.18,0.65,0.47,0.93,0.36,0.51,-0.07,-0.48,0.58,0.51,0.53,0.57,0.55,0.65,-0.32
SAP130,0.28,0.43,-0.08,0.7,0.26,0.25,0.16,0.11,0.29,0.38,0.21,0.56,0.2,0.46,0.16,0.54,-0.16,0.22,0.79
SAP18,-0.08,0,-0.17,0.1,0.38,-0.14,0,-0.17,-0.23,-0.18,0.07,0.49,-0.12,-0.13,0.16,0.08,-0.13,0,0.38
SAP30,-0.78,-0.71,-0.76,-0.65,-0.25,-0.55,-0.46,-0.75,-0.48,-0.4,-0.51,-0.04,-0.71,-0.57,-0.24,-0.87,-0.34,-0.44,0.12
SAP30BP,-0.38,-0.26,-0.35,-0.34,-0.03,-0.35,-0.27,-0.26,-0.23,-0.42,0.02,0.02,-0.38,-0.21,-0.09,-0.46,-0.61,-0.37,-0.01
SAP30L,-0.17,0.2,0.17,0.14,0.1,-0.07,-0.02,0.03,-0.16,0,0.39,0.46,0.06,0.11,0.28,0.24,-0.11,0.02,0.67
SAR1A,-0.02,0.13,0.04,0.05,-0.02,0.11,0.08,-0.08,0,-0.09,0.04,0.05,0.02,0.09,-0.1,-0.07,0.02,0,-0.14
SAR1B,0.42,0.33,0.27,0.11,-0.37,0.42,0.3,0.4,0.15,0.07,0,-0.7,0.4,0.17,-0.26,0.27,0.32,0.39,-0.59
SARAF,-0.51,-0.03,NA,1.59,1.22,0.02,-0.06,1.31,-0.16,-0.68,NA,-0.21,NA,-0.12,-0.03,1.71,1.6,0.08,-0.2
SARDH,1.25,1.65,1.1,0.76,-0.91,1.75,0.95,1.53,0.58,0.78,0.12,-2.15,1.3,0.93,-0.77,0.36,1.04,1.36,-1.49
SARM1,-0.49,-0.18,-0.14,-0.08,0.12,-0.11,0.32,-0.15,-0.1,-0.01,0.11,0.32,-0.21,0.05,-0.02,0.22,-0.35,-0.15,0.34
SARNP,-0.33,-0.08,-0.27,-0.11,0.38,-0.21,-0.01,-0.36,-0.32,-0.21,0.11,0.3,-0.3,-0.07,0.19,-0.16,-0.17,-0.02,0.4
SARS1,-0.15,-0.22,-0.16,-0.15,-0.07,-0.11,-0.07,-0.32,-0.17,-0.27,-0.09,-0.01,-0.29,-0.15,-0.12,-0.25,-0.37,-0.21,-0.13
SARS2,0.52,0.55,0.27,0.04,-0.15,0.28,0.21,0.5,0.6,0.2,0.06,-0.61,0.31,0.2,0.36,0.18,0.19,0.33,-0.22
SART1,-0.26,-0.12,-0.34,-0.17,0.24,-0.22,-0.09,-0.25,-0.27,-0.28,0.02,0.15,-0.29,-0.08,-0.01,-0.16,-0.17,-0.28,0.21
SART3,-0.22,-0.3,-0.19,-0.12,0.01,-0.28,-0.13,-0.33,-0.15,-0.1,0.05,0.32,-0.26,-0.18,-0.01,-0.13,-0.43,-0.28,0.3
SASH1,-0.01,-0.24,-0.11,0.1,0.27,-0.26,-0.02,-0.11,-0.17,0.07,0.17,0.18,-0.08,-0.2,0.29,0.06,-0.16,-0.05,0.42
SASH3,-1.21,-0.74,-0.54,0.06,-0.02,-0.64,-0.73,-0.72,-0.64,-0.5,-0.61,0.04,-0.96,-0.56,-0.89,-0.65,-0.71,-0.91,0.46
SAT2,1.17,1.25,1.17,0.99,-0.03,0.73,1.17,1.57,0.73,0.76,0.21,-1.49,0.99,1.28,-0.42,1.06,0.2,1.3,-1.19
SATB2,0.5,NA,-0.58,NA,0.15,NA,NA,NA,0.44,-0.18,-0.39,0.63,-0.12,NA,0.04,NA,0.36,NA,NA
SBDS,-0.18,-0.28,-0.22,-0.01,0.1,-0.17,-0.17,-0.14,-0.23,-0.15,0,0.1,-0.12,-0.17,0.05,-0.03,-0.19,-0.12,-0.01
SBF1,0.11,0.03,0.11,0.04,-0.12,0.01,-0.01,0.08,-0.05,-0.13,0.02,0.05,0.01,-0.12,0.01,0.01,0.04,-0.09,0.13
SBF2,0.17,-0.13,-0.03,-0.19,-0.09,0.18,0.12,0.07,0.07,0.19,-0.05,0.15,0,0.12,0.32,-0.21,0.11,0.12,0.11
SBNO1,0.2,0.17,0.31,-0.14,-0.23,0.25,0.17,-0.13,0.13,0.09,0.15,-0.03,0.37,0.06,0.05,0.16,-0.18,0.15,0.14
SBSN,1.26,2.22,NA,NA,0.28,0.46,1.01,NA,2.39,0.62,NA,0.67,NA,1.15,0.25,NA,0.8,0.72,0.03
SBSPON,-0.35,-0.12,0.06,0.49,0.55,0,-0.09,-0.29,-0.39,-0.04,0.94,0.95,-0.26,0.15,0.4,-0.1,-0.32,0.18,0.56
SC5D,NA,0.3,NA,0.33,-0.04,-0.43,-0.06,0.49,NA,NA,NA,-0.34,NA,0.23,0.38,0.45,0.04,-0.09,-0.22
SCAF1,-0.23,-0.36,-0.52,-0.2,-0.08,-0.16,0.05,-0.11,0.1,-0.25,-0.02,-0.07,-0.39,-0.36,0,-0.18,-0.36,0.11,-0.08
SCAF11,-0.05,-0.04,-0.28,-0.08,0.08,-0.1,0,-0.08,-0.1,0,0.08,0.28,-0.28,-0.22,0.11,-0.06,-0.29,-0.09,0.26
SCAF4,0.17,0.29,0.24,0.37,0.44,0.19,0.18,0.24,0.2,0.1,-0.15,0.5,0.3,0.19,0.1,0.3,-0.11,0.14,0.41
SCAF8,-0.09,0,-0.31,0,0.47,-0.08,0.08,-0.01,-0.03,-0.06,-0.05,0.32,-0.07,0.16,0.19,0.09,0.02,0,0.17
SCAI,-0.34,0.28,0.41,0.09,-0.07,-0.12,0.02,0.39,-0.32,-0.09,0.45,0.48,0.37,0.42,0.42,0.65,0.02,-0.26,0.79
SCAMP1,0.13,0.03,0.24,0,-0.27,-0.35,-0.46,-0.61,-0.05,-0.22,0.09,0.21,0.12,-0.07,0,-0.2,-0.54,-0.15,-0.12
SCAMP2,0.42,0.5,0.12,0.29,0.04,0.4,0.22,0.16,0.2,0.37,-0.05,-0.08,0.29,0.5,-0.04,0.22,0.5,0.12,-0.19
SCAMP3,-0.11,-0.31,-0.14,0.26,-0.2,-0.05,0.15,0.84,-0.24,-0.27,-0.03,-0.01,0.23,-0.15,0.19,0.06,-0.21,-0.14,-0.11
SCAMP4,-0.03,0.26,0.14,-0.02,0.01,0.54,0.27,0.05,-0.01,0.15,0.15,0.25,0.34,0.14,0.19,0.15,0.29,0.49,0.14
SCAND1,0.57,0.44,0.16,NA,0.49,0.23,0.16,NA,0.4,0.51,0.2,-0.02,0.4,0.28,0.27,NA,0.36,0.59,0.61
SCAPER,1.36,0.23,0.08,0.14,0.38,0.05,-0.26,0.22,1.54,0.93,0.43,0.45,0.13,0.44,0.48,0.07,0.49,-0.02,0.94
SCARB1,-1.1,-1.01,-1.01,-1.28,-1.74,-0.98,-0.96,-0.91,-1.08,-1.22,-2.28,-1.75,-0.89,-1.19,-1.29,-1.05,-0.53,-0.77,-1.95
SCARB2,-0.08,-0.15,0.22,0.02,0.03,-0.09,0.07,-0.04,-0.21,-0.11,-0.08,-0.04,0.12,0.06,0.06,-0.09,0,-0.19,0.01
SCARF1,-0.04,NA,NA,-0.72,NA,NA,NA,-0.81,-0.41,0.29,NA,0.21,NA,NA,0.3,-0.74,NA,NA,NA
SCCPDH,0.16,0.04,0.08,-0.07,0.01,0.14,0.17,0.24,0.21,0.13,-0.07,-0.45,0.2,-0.12,0.74,0.1,0.1,0.11,-0.14
SCD,-0.98,-0.8,-1.49,NA,-1.82,NA,NA,NA,-0.43,-1.1,-1.35,-1.58,-0.96,-0.88,-1.15,NA,-0.83,NA,-0.85
SCD5,1.21,1.13,0.74,1.3,1.71,0.3,0.6,1.61,0.56,1.1,0.78,0.58,0.98,0.98,0.98,1.55,1.07,0.84,0.94
SCEL,0.26,-1.76,-0.01,0.31,-0.14,0.21,-0.18,0.68,0.18,0.57,0.04,NA,-0.09,-0.24,NA,0.4,-0.28,-0.01,0.59
SCFD1,0.06,-0.02,0.04,0,0.16,0.07,0.03,0.04,0.08,-0.15,0.07,0.11,-0.06,-0.02,-0.01,0.06,-0.04,0.07,-0.04
SCFD2,0.02,0.11,0.3,-0.05,0.2,-0.01,-0.01,0.23,0.01,0.05,-0.13,-0.04,0.14,0.13,-0.04,0.23,0.2,-0.06,-0.1
SCGN,-2.61,-3.52,-2.74,-2.74,-2.93,-3.7,-3.68,-3.37,-2.84,-2.66,-3.42,-2.64,-2.94,-3.39,-2.9,-3.56,-2.82,-3.07,-1.59
SCHIP1,0.69,1.82,0.04,0.57,NA,NA,NA,0.84,0.47,0.7,-0.28,NA,0.29,2.47,NA,0.69,NA,NA,2.58
SCIN,0.02,0.12,-0.02,-0.06,0.21,-0.09,0.12,0.01,0.05,-0.13,0.2,-0.18,0.01,-0.23,0.49,0.35,-0.31,-0.15,0.2
SCLY,0.29,0.41,0.25,0.25,0.55,0.4,0.2,0.26,0.24,0.04,-0.13,0.17,0.22,0.03,-0.25,0.45,0.56,0.24,-0.41
SCO1,0.41,0.72,0.82,0.39,-0.14,0.67,0.34,0.55,0.53,0.39,0.1,-0.31,0.56,0.52,0.2,0.28,0.68,0.27,-0.11
SCO2,0.33,0.5,0.59,0.23,-0.23,0.5,0.47,0.74,0.58,0.43,0.03,-0.41,0.29,0.5,0.17,0.5,0.56,0.46,-0.21
SCOC,0.04,0.07,-0.02,0.23,-0.05,0.07,0.25,0.19,0.11,-0.06,0.28,-0.29,0.15,-0.04,-0.02,0.39,-0.07,0.08,0
SCP2,0.63,0.58,0.68,0.32,-0.14,0.65,0.59,0.56,0.46,0.09,0.3,-0.51,0.63,0.52,-0.17,0.49,0.54,0.75,-0.55
SCPEP1,0.49,0.85,0.54,0.54,0.39,0.56,0.86,0.51,0.76,0.81,0.84,0.42,0.48,0.76,0.52,0.81,0.61,0.35,0
SCRIB,0.39,0.26,0.19,0.09,0.09,0.3,0.1,0.19,0.45,0.07,0.05,0.26,0.23,0.19,0.27,0.22,0.15,0.21,0.11
SCRN1,-0.16,-0.02,-0.26,-0.14,-0.07,-0.24,-0.15,-0.26,0.02,-0.28,0.26,-0.14,-0.11,-0.14,0.46,-0.08,-0.3,-0.32,0.19
SCRN2,0.89,0.66,0.67,0.39,-0.35,0.73,0.17,0.81,0.17,0.48,-0.08,-0.51,0.53,0.66,-0.61,0.22,0.11,-0.07,-1.15
SCRN3,0.24,0.12,-0.08,-0.17,-0.82,-0.3,-0.09,0.04,-0.02,0.16,-0.14,-0.27,0.06,0.09,-0.28,0.11,-0.08,0.08,-0.14
SCUBE2,NA,0.32,0.98,NA,NA,0.07,0.04,NA,NA,NA,0.49,NA,0.64,0.39,NA,NA,NA,0.74,0.38
SCYL1,0.03,-0.01,-0.05,-0.07,0.02,0.03,0.04,-0.08,0,-0.16,-0.06,0.11,-0.07,0.09,-0.05,-0.08,0,0.08,-0.01
SCYL2,0.44,0.25,0.42,0.08,-0.12,0.25,0.17,0.34,0.26,0.28,0.03,-0.13,0.11,0.14,0.05,0.37,0.15,0.27,0.01
SCYL3,-0.28,-0.06,0.04,-0.43,-0.08,-0.11,0.01,0.1,0.08,-0.05,-0.32,-0.04,-0.32,-0.05,-0.11,-0.28,-0.03,-0.23,-0.05
SDAD1,-0.59,-0.89,-0.17,-0.04,-0.34,-0.34,-0.39,-0.03,-0.11,-0.09,-0.37,0.32,-0.25,-0.58,-0.13,-0.15,-0.84,-0.15,0.45
SDC1,1.23,0.86,0.74,0.47,-1.13,0.58,0.64,1.63,0.48,1.1,0.18,-1.32,1.34,0.69,0.34,0.12,1.1,0.88,-0.41
SDC2,0.56,0.57,0.39,0.23,-0.05,0.13,0,1.03,0.45,0.16,0.2,1.87,0.65,0.71,2.95,1.25,-0.27,0.11,1.14
SDC4,0.68,0.66,0.69,0.09,0.47,0.61,0.42,0.33,0.59,0.55,0.3,0.68,0.62,0.38,0.11,0.63,0.37,0.57,0.27
SDCBP,-0.39,-0.3,0.08,0.1,-0.17,-0.34,-0.42,-0.57,0.32,0.41,1.07,1.38,-0.23,0.86,-0.28,-0.55,-0.06,-0.47,0.47
SDCBP2,-0.33,-0.17,-0.43,NA,0.14,-0.65,-0.28,NA,0.57,0.21,2.41,1.04,0.16,0.74,-0.38,NA,-0.15,-1.01,0.21
SDCCAG8,0.02,-0.49,-0.34,-0.12,0.01,NA,NA,-0.6,0.15,0.07,-0.29,-0.33,-0.41,0.34,0.01,-0.35,-0.05,NA,0.77
SDE2,-0.2,-0.05,0.1,-0.04,0.38,0.05,0.18,-0.18,-0.05,-0.21,0.19,0.22,0.04,0.05,0,-0.18,-0.06,0.3,0.48
SDF2,0.28,0.65,0.21,0.64,1.1,1.03,0.88,0.41,0.06,0.02,0.23,0.75,0.13,0.52,0.36,0.8,0.93,0.9,1.16
SDF2L1,0.3,0.14,0.38,0.32,0.21,0.24,0.04,-0.09,0.24,0,0.21,0.3,0.4,0.01,0.32,0.24,0.45,0.31,-0.01
SDF4,0.43,0.18,0.12,0.21,0,0.15,-0.06,-0.04,0.02,-0.16,0,-0.01,0.04,0.04,-0.17,0.24,0.27,0.17,-0.11
SDHA,0.74,0.67,0.41,-0.21,-0.34,0.64,0.51,0.7,0.55,0.4,0.1,-0.86,0.64,0.44,0.27,0.39,0.47,0.56,-0.86
SDHAF1,0.7,0.92,0.92,0.37,-0.21,-0.07,-0.19,0.89,0.8,0.38,0.23,-0.9,0.66,0.94,0.5,0.51,0.6,-0.05,1.21
SDHAF2,0.34,0.12,0.19,-1.02,-0.59,-0.04,-0.01,0.18,0.02,-0.34,0.05,-0.68,0.2,0.09,-0.17,0.01,-0.06,0.14,-0.79
SDHAF3,0.83,0.71,0.48,0.28,-0.26,0.74,-0.01,0.88,0.61,0.13,0.13,-1.55,0.69,0.44,0.08,0.38,0.77,0.03,-0.48
SDHAF4,-0.16,0.07,0.43,-0.51,-0.35,-0.69,0.3,0.35,-0.01,-0.21,0.17,-0.31,0.66,-0.4,-0.29,0.22,-0.27,-0.08,-0.41
SDHB,0.95,0.83,0.54,-0.06,-0.09,0.81,0.6,0.92,0.67,0.4,0.22,-0.88,0.7,0.56,0.35,0.78,0.83,0.79,-0.71
SDHC,0.22,1.25,0.59,0.01,0.17,0.59,0.42,1.06,-0.67,1.04,-0.11,-0.9,1.07,1.13,-0.06,0.64,0.7,0.54,-0.45
SDK1,-0.13,-0.05,-0.15,0.22,NA,-0.34,-0.05,-0.35,0.03,0.17,-0.26,0.9,-0.09,0,0,-0.56,NA,-0.37,0.59
SDR39U1,0.61,0.31,0.32,0.26,-0.22,0.46,0.54,0.8,0.49,0.44,0.08,-0.65,0.42,0.25,0.39,0.6,0.37,0.54,-0.37
SDSL,0.41,0.64,0.7,0.58,-0.7,0.89,0.19,0.75,0.17,0.23,-0.02,-0.58,0.85,0.4,-0.51,0.55,0.56,0.32,-0.86
