"","","","AP-SS2L","AP-94ED","AP-9D3B","AP-UG7J","AP-5MX6","AP-7KJ6","AP-KGMR","AP-RBLG","AP-YF3B","AP-QAHT","AP-HFEA","AP-G79N","AP-U8MP","AP-MAZ4","AP-ZLDH","AP-2XNK","AP-VLXG","AP-MJ52","AP-JKPX","AP-WTXJ","AP-HMFR","AP-SJVE","AP-AGZG","AP-5JDU","AP-FX68","AP-LWHD","AP-RA2G","AP-CT3G","AP-52RG","AP-B2SL","AP-EZEX","AP-TBFQ","AP-352Q","AP-DN2V","AP-YTZ8","AP-5L2V","AP-9UHJ","AP-E98M","AP-KX5B","AP-V6UJ","AP-KXUT","AP-DM87","AP-WDKZ","AP-N8FG","AP-AJWE","AP-DT88","AP-6EWG","AP-8MWD","AP-W455","AP-D9X4","AP-4HAU","AP-9PXS","AP-A5NG","AP-D35H","AP-HKYN","AP-XSR5","AP-AAFC","AP-JDN4","AP-XVLY","AP-NMZS","AP-EFHT","AP-4M7L","AP-8PRJ","AP-4LRG","AP-3336","AP-K24D","AP-27JZ","AP-XCJX","AP-QUHC","AP-QD4Q","AP-62LT","AP-E7CU","AP-HML4","AP-DMUM","AP-RQNH","AP-EPNF","AP-B9CH","AP-67ZV","AP-JK59","AP-9LNA","AP-F595","AP-JBET","AP-3FY5","AP-MGNN","AP-WPAM","AP-2E8Q","AP-7GDN"
"NP_056345.3:t415","GORASP2 t415","GORASP2","NaN","-0.09","NaN","0.11","NaN","NaN","-1.83","-0.47","NaN","NaN","-0.78","-0.7","NaN","0.4","NaN","0.65","0.34","NaN","0.25","NaN","0.43","NaN","NaN","0.99","NaN","NaN","NaN","-0.39","-1.18","NaN","-1.86","-0.7","0.12","-0.07","-0.18","0.96","NaN","NaN","-0.39","-1.03","NaN","NaN","NaN","-0.06","-0.39","NaN","-0.4","NaN","NaN","NaN","NaN","NaN","0.59","0.01","NaN","1.1","-0.44","NaN","-0.51","NaN","NaN","NaN","-1.28","0.52","-0.02","NaN","NaN","NaN","NaN","NaN","-1.48","NaN","-0.83","0.28","NaN","NaN","NaN","0.33","NaN","0","NaN","NaN","NaN","0.68","0.18","-0.74","0.78"
"NP_056365.1:s34","OSBPL3 s34","OSBPL3","NaN","NaN","0.39","NaN","NaN","NaN","NaN","NaN","-0.56","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.04","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.55","NaN","NaN","NaN","0.89","NaN","-0.1","-0.44","NaN","0.86","-0.95","NaN","NaN","NaN","NaN","NaN","-0.38","NaN","NaN","0.2","0.85","NaN","NaN","NaN","NaN","-0.58","NaN","NaN","NaN","NaN","0.32","NaN","NaN","NaN","-0.98","NaN","NaN","NaN","NaN","-0.35","-0.02","-0.08","NaN","NaN","NaN","NaN"
"NP_056464.1:s384","IRF2BP1 s384","IRF2BP1","0.6","-0.31","-0.11","-0.07","0.99","-0.81","0.07","-0.49","-0.33","-0.63","-0.65","-0.59","NaN","0","-0.63","0.15","-0.63","-1.09","-0.4","0.41","-0.06","NaN","0.36","0.1","NaN","0.09","NaN","0.25","-0.04","0.1","-1.2","-0.15","0.63","0.38","-0.22","0.73","-0.39","-0.56","0.38","-0.18","0.16","-0.12","NaN","-1.32","-1.6","-0.37","-0.55","0.16","-0.56","NaN","1.46","0.73","0","-0.45","NaN","0.7","0.27","-0.64","-0.22","-0.24","-0.07","0.36","-1.66","-0.55","-0.75","-1.09","-0.35","NaN","-0.46","-1.01","-0.92","0.34","0.24","-0.77","0.26","-0.5","NaN","-0.69","0.04","-0.53","1.23","-0.29","-0.48","-0.17","0.36","-0.19","0.12"
"NP_056464.1:s66","IRF2BP1 s66","IRF2BP1","-0.66","-2.09","-0.13","0.36","0.34","-1.47","-1.52","-0.91","-0.04","-1.41","-0.52","-0.56","0.28","-0.4","-1.66","0.17","-1.42","-1.13","-0.03","0.22","0.23","-0.77","-0.19","-0.09","0.93","0.16","-0.2","0.53","0.67","-1.26","-2.36","0.77","1.74","0.54","0.52","0.83","-1.04","-0.51","1.1","-0.57","0.02","-0.81","-0.14","-1.61","-3.77","0.21","0.41","-0.52","-0.49","1.11","0.26","0.78","0.08","-0.09","1.07","1.75","0.81","-0.36","0.08","-0.11","-0.11","0.17","-2","0.59","0.17","-1.34","-1.13","0.36","-0.23","-0.36","-0.64","-0.23","0.22","-0.34","0.74","-0.73","1.82","-1.37","-0.49","0.5","1.64","-0.75","-0.49","-0.72","-0.26","0.2","0.52"
"NP_057191.2:s1054","ZFR s1054","ZFR","NaN","NaN","-0.09","NaN","NaN","-0.09","NaN","NaN","NaN","-1.25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.36","NaN","NaN","NaN","NaN","NaN","NaN","0.38","-0.54","NaN","NaN","0.09","NaN","NaN","NaN","NaN","-0.57","NaN","NaN","-0.51","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.33","NaN","0.29","-0.98","-0.08","NaN","NaN","NaN","NaN","NaN","NaN","-0.71","NaN","NaN","0.14","NaN","NaN","NaN","NaN","NaN","NaN","0.32","NaN","-0.25","-0.16","-0.28","NaN","NaN","NaN","NaN"
"NP_057417.3:s1103","SRRM2 s1103","SRRM2","NaN","NaN","NaN","NaN","NaN","-0.61","NaN","NaN","NaN","-1.01","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.23","NaN","NaN","NaN","NaN","NaN","NaN","-0.18","-0.2","NaN","NaN","0.25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.02","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.06","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_057417.3:s1179","SRRM2 s1179","SRRM2","NaN","NaN","NaN","NaN","NaN","-0.98","NaN","NaN","NaN","-1.27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.25","NaN","NaN","NaN","NaN","NaN","NaN","-0.48","-0.8","NaN","NaN","0.3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.9","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.45","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_057417.3:s1214","SRRM2 s1214","SRRM2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.4","NaN","NaN","NaN","NaN","NaN","0.6","-0.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.48","NaN","-0.6","NaN","NaN","NaN","0.78","NaN","NaN","NaN"
"NP_057417.3:s1329","SRRM2 s1329","SRRM2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.09","NaN","NaN","0.56","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.75","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.86","NaN","-0.63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.4"
"NP_057417.3:s1387","SRRM2 s1387","SRRM2","NaN","NaN","NaN","-0.56","NaN","NaN","0.07","NaN","NaN","NaN","-0.37","NaN","NaN","NaN","NaN","-0.53","NaN","NaN","0.23","NaN","NaN","NaN","NaN","-0.55","NaN","NaN","NaN","-0.28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.37","NaN","NaN","NaN","-0.64","NaN","NaN","NaN","-0.56","-1.86","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.54","-0.51","NaN","-0.69","NaN","NaN","NaN","NaN","0.21","-0.97","NaN","NaN","NaN","NaN","NaN","-0.64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.29"
"NP_057417.3:s2398","SRRM2 s2398","SRRM2","NaN","NaN","0.33","NaN","NaN","NaN","NaN","-0.06","-0.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.25","NaN","NaN","NaN","NaN","-0.47","NaN","NaN","-1.63","NaN","-1.6","-0.26","0.62","NaN","NaN","NaN","NaN","NaN","-0.09","NaN","NaN","-0.05","NaN","NaN","NaN","-0.27","-0.25","-0.35","0.25","NaN","0.25","-0.33","0.13","-0.04","NaN","NaN","NaN","-0.47","NaN","NaN","-0.54","0.03","-0.87","NaN","NaN","NaN","0.61","NaN","NaN","NaN","NaN","0.55","NaN","-0.13","NaN","-0.67","NaN","-0.63","NaN","-0.58","0.13","0.08","0.11","0.78","NaN","0.02","NaN"
"NP_057417.3:s2426","SRRM2 s2426","SRRM2","NaN","0.28","NaN","-1.09","NaN","-0.03","-0.04","NaN","NaN","-1.36","0.42","-0.07","NaN","0.64","NaN","-0.24","0.07","NaN","0.12","NaN","0.1","NaN","NaN","0.52","NaN","NaN","NaN","0.05","-0.95","1.03","NaN","NaN","NaN","0.63","-0.56","1.13","-0.1","-0.19","-0.3","0.16","0.57","NaN","NaN","-0.35","-0.56","NaN","-0.6","NaN","NaN","NaN","NaN","NaN","0.21","-0.42","NaN","1.05","0.29","NaN","-0.35","-0.18","NaN","NaN","NaN","-0.17","-0.64","NaN","NaN","NaN","-0.26","NaN","-0.43","NaN","-0.04","NaN","NaN","NaN","NaN","-0.6","-0.14","-0.98","NaN","NaN","NaN","0.73","0.62","NaN","0.56"
"NP_057417.3:s2449","SRRM2 s2449","SRRM2","0.47","NaN","-0.19","-0.15","0.44","-0.47","-1.58","-0.32","-0.19","-0.95","-0.73","NaN","NaN","NaN","-0.62","-0.35","NaN","-0.41","0.21","0.32","0.75","NaN","-0.2","-1.12","NaN","-0.79","NaN","0.82","0.04","0","-0.79","0.28","1.46","NaN","NaN","-0.01","-0.49","-0.55","-0.09","0.01","0.07","0.01","NaN","-1.31","-2.26","0.47","-0.06","-0.93","0.1","NaN","NaN","0.03","-0.16","0.02","NaN","1.03","0.63","0.02","-0.03","-0.3","-0.39","-0.34","-0.8","-0.51","-0.32","-0.54","0.09","NaN","-0.9","-0.31","-0.55","0.38","NaN","-0.14","-0.17","-0.93","NaN","-0.48","0.15","-0.34","-0.4","-0.31","0.38","0.67","NaN","0.03","0.18"
"NP_057417.3:s2581","SRRM2 s2581","SRRM2","0.68","NaN","0.8","-0.71","0.22","-0.34","-0.12","-0.17","NaN","-1.12","-0.28","NaN","NaN","NaN","-0.92","-0.08","NaN","-0.54","0.15","0.13","-0.15","NaN","-0.05","0.17","NaN","NaN","NaN","-0.06","0.11","1.03","-1.33","-0.19","0.55","NaN","NaN","0.68","0.25","-0.36","0.53","-0.25","0.7","NaN","NaN","-0.87","-1.18","-0.64","-0.09","NaN","0.14","NaN","NaN","NaN","0.59","-0.04","NaN","0.82","0.25","-0.99","-0.11","-0.21","1","-0.3","-1.54","0.03","-0.98","-0.64","NaN","NaN","0.2","-0.25","-0.86","0.25","NaN","-0.6","-0.04","NaN","NaN","-0.54","0.44","-0.58","0.23","-0.03","-0.23","0.81","NaN","0.02","0.44"
"NP_057417.3:s333","SRRM2 s333","SRRM2","NaN","NaN","NaN","-0.45","NaN","NaN","-0.02","NaN","NaN","NaN","-0.48","NaN","NaN","NaN","NaN","-0.65","NaN","NaN","0.13","NaN","0.33","NaN","NaN","-1.25","NaN","NaN","NaN","-0.12","-0.24","NaN","NaN","NaN","NaN","NaN","NaN","-0.29","NaN","NaN","0.14","0.06","NaN","NaN","NaN","-1.56","-3.31","NaN","-0.62","NaN","NaN","NaN","NaN","NaN","-0.52","-0.48","NaN","0.64","0.25","NaN","-0.41","NaN","NaN","NaN","NaN","-0.25","-0.47","NaN","NaN","NaN","NaN","NaN","-0.69","NaN","NaN","NaN","NaN","NaN","NaN","-0.55","NaN","-1.1","NaN","NaN","NaN","0.87","NaN","NaN","0.05"
"NP_057417.3:t1003","SRRM2 t1003","SRRM2","0.78","0.1","0.14","-0.23","0.46","-0.4","0.22","0.14","-0.21","-0.64","-0.2","-0.36","0.94","0.72","-0.23","-1","1.16","-0.7","-0.48","0.45","-0.35","-0.9","-0.21","-0.49","0.14","-0.68","0.83","-0.37","-0.2","0.97","-1.42","0.35","0.78","0.48","-0.74","0.45","0.1","-0.65","0.57","-0.19","1.37","-0.29","-1.23","-0.51","-1.52","0.05","-0.58","-0.34","0.49","-0.17","-0.5","-0.2","0.14","-0.79","0.61","0.71","-0.28","-0.1","-1.08","0.12","-0.57","-0.13","-0.93","0.22","-0.49","-0.47","0.33","-0.64","0.18","-0.69","-0.91","0.51","-0.43","-0.22","-0.18","0.12","0.59","-1.02","0.58","-1.32","-0.37","-0.33","-0.06","-0.05","0.14","0.56","-0.41"
"NP_057417.3:t1492","SRRM2 t1492","SRRM2","0.46","0.02","NaN","-0.42","1.21","-0.78","-2.73","-0.98","NaN","-1.05","-0.3","-0.24","0.25","-0.28","-0.64","-0.63","-1.44","-0.73","0.02","-0.01","0.1","-0.94","-0.17","0.09","0.17","NaN","-0.36","1.04","-0.21","-0.1","-0.39","-0.09","0.97","0.41","-0.73","0.19","0.01","-0.22","-0.43","-0.09","-0.69","NaN","-0.72","-0.86","-3.35","NaN","-0.39","NaN","NaN","0.21","NaN","NaN","0.4","0.12","0.14","1.29","0.7","NaN","-0.46","-0.22","NaN","NaN","-0.59","0.09","-0.89","-0.27","NaN","-0.95","0.01","-0.09","-0.67","NaN","-0.25","-0.07","0.51","NaN","0.65","-0.74","0.09","-0.47","NaN","NaN","NaN","-0.17","0.4","0.29","0.93"
"NP_057417.3:t2104","SRRM2 t2104","SRRM2","-0.37","NaN","-0.44","NaN","0.15","NaN","0.63","-0.2","NaN","NaN","NaN","NaN","NaN","NaN","-0.97","-0.17","NaN","-0.37","-0.16","0.33","NaN","NaN","0.14","NaN","NaN","NaN","NaN","0.17","NaN","NaN","-2.21","0.5","0.47","NaN","NaN","NaN","NaN","NaN","NaN","-0.18","NaN","NaN","NaN","NaN","NaN","-0.12","NaN","NaN","-0.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.64","-0.31","-0.45","NaN","-0.48","-0.12","-1.19","NaN","NaN","-0.2","NaN","NaN","NaN","-0.89","-1.37","0.69","NaN","-0.54","-0.15","NaN","NaN","NaN","NaN","NaN","-0.37","-0.5","0.09","NaN","NaN","-0.05","0.27"
"NP_057417.3:t2289","SRRM2 t2289","SRRM2","NaN","-1.3","NaN","-0.85","NaN","-0.88","NaN","NaN","NaN","-0.54","-1.17","1.31","NaN","-0.65","NaN","NaN","-2.07","NaN","NaN","NaN","-0.01","NaN","NaN","0.13","NaN","NaN","NaN","NaN","-0.73","-0.25","NaN","NaN","NaN","0.37","-0.26","-1.41","-0.36","0.31","0.08","NaN","0.39","NaN","NaN","-1.87","-3.16","NaN","-1.18","NaN","NaN","NaN","NaN","NaN","-0.53","-0.12","NaN","1.88","NaN","NaN","NaN","0.39","NaN","NaN","NaN","-0.56","-1.76","NaN","NaN","NaN","-0.61","NaN","NaN","NaN","-0.34","NaN","NaN","NaN","NaN","-0.76","0.79","-0.77","NaN","NaN","NaN","-0.31","-0.01","NaN","NaN"
"NP_057417.3:t2583","SRRM2 t2583","SRRM2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.57","NaN","NaN","NaN","NaN","NaN","0.66","-0.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.23","NaN","-0.27","NaN","NaN","NaN","0.74","NaN","NaN","NaN"
"NP_057417.3:t367","SRRM2 t367","SRRM2","NaN","0.31","-0.12","-0.83","NaN","-1.58","NaN","NaN","NaN","-0.92","-0.5","-0.03","NaN","1.85","NaN","-2.15","-0.02","NaN","-0.5","NaN","-0.24","NaN","NaN","-0.48","NaN","NaN","NaN","0.22","-0.88","-0.82","NaN","NaN","NaN","0.86","NaN","-0.39","0.39","-0.31","-0.75","-0.35","-1.14","NaN","NaN","-0.54","NaN","-0.74","-1.58","NaN","-0.21","NaN","NaN","NaN","0.12","-0.64","NaN","1.27","-0.41","-1.14","-0.31","-0.35","-1.35","-0.37","NaN","0.28","-0.06","NaN","NaN","NaN","-0.56","NaN","-1.21","-0.28","1.23","NaN","NaN","NaN","NaN","-0.51","0.45","-0.86","-0.58","-0.37","-0.58","0.26","1.1","NaN","-0.08"
"NP_057417.3:t983","SRRM2 t983","SRRM2","NaN","NaN","NaN","-0.56","NaN","-1.17","NaN","0.28","NaN","-1.11","-0.22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.62","NaN","NaN","NaN","NaN","NaN","0.43","-1.18","0.18","1.02","NaN","NaN","0.12","-0.05","-0.48","NaN","NaN","0","NaN","NaN","-1.65","-2.77","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.82","NaN","NaN","NaN","-0.16","NaN","NaN","-1.87","-0.39","-0.94","NaN","NaN","NaN","-0.13","NaN","NaN","NaN","NaN","-0.18","NaN","NaN","NaN","NaN","0.39","NaN","NaN","NaN","NaN","NaN","NaN","0.07","NaN"
"NP_057479.2:s114","HACD3 s114","HACD3","-0.7","NaN","-0.62","-0.51","-0.58","-0.77","NaN","NaN","-0.27","-1.47","0.28","NaN","0.19","NaN","-0.71","NaN","NaN","-1.55","NaN","-0.59","NaN","-0.58","-0.08","-0.48","0.26","1.45","-0.73","NaN","NaN","0.91","NaN","NaN","NaN","NaN","NaN","0.84","-1.18","0.67","NaN","NaN","-0.54","0.93","-1.37","0.1","NaN","0.24","NaN","-0.4","-0.39","-0.35","-0.1","0.03","NaN","NaN","0.64","-0.1","NaN","-1.26","NaN","-1.3","-1.13","-0.53","NaN","0.11","1.1","-0.84","1","-0.54","0.17","-1.9","NaN","0.97","NaN","NaN","-1.4","0.18","0.76","NaN","0.13","NaN","-0.8","0.06","0.05","NaN","NaN","NaN","NaN"
"NP_057662.3:s1345","RSF1 s1345","RSF1","NaN","NaN","0.68","NaN","NaN","0.7","-2.13","NaN","-0.21","-0.99","NaN","NaN","NaN","NaN","NaN","-0.76","NaN","NaN","0.4","NaN","NaN","NaN","NaN","NaN","NaN","0.34","NaN","-1.86","NaN","-0.28","NaN","NaN","NaN","NaN","NaN","NaN","-0.6","-1.02","NaN","-0.17","0.11","0.24","NaN","NaN","NaN","-0.98","NaN","-0.44","-1.24","NaN","1.38","0.71","NaN","NaN","NaN","NaN","0.24","-1.27","-0.92","0.37","0.84","0.08","NaN","NaN","NaN","NaN","-0.48","NaN","-0.34","NaN","-1.34","-0.31","NaN","NaN","NaN","-0.04","NaN","NaN","-0.41","NaN","0.53","0.36","-0.81","NaN","NaN","NaN","-0.25"
"NP_057662.3:s604","RSF1 s604","RSF1","0.22","0.61","-0.29","0.17","0.51","0.3","-0.87","0.04","NaN","-1.13","-0.13","1.04","0.18","0.1","-0.72","-0.39","-0.14","-0.97","0.81","0.24","0.19","-1.24","0.17","-1.5","-0.01","NaN","-0.51","0.44","0.21","-0.5","-1.06","0.13","1.86","0.81","-0.2","0.03","-0.83","-1.14","0.52","0.36","0.01","NaN","-1.27","-1.42","-2.73","-0.22","-0.47","NaN","-0.24","-0.46","NaN","NaN","-0.32","-0.18","-0.16","0.34","0.8","-0.52","-0.16","-0.03","-0.9","-0.15","-1.41","0.14","-2.67","-0.99","NaN","-1.07","-1.07","-0.76","-0.81","0.54","0.05","-0.62","-0.02","NaN","0.4","-0.78","0.06","-0.38","0.04","-1","-0.28","0.02","0.99","1.07","0.22"
"NP_059141.1:s113","H2BC12L s113","H2BC12L","NaN","NaN","NaN","-1.42","NaN","NaN","NaN","NaN","NaN","NaN","0.62","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.82","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.78","-1.96","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.99","-2.3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_060092.2:t196","BORCS6 t196","BORCS6","NaN","NaN","NaN","-0.1","NaN","NaN","NaN","NaN","NaN","NaN","0.29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.12","NaN","NaN","0.28","NaN","NaN","NaN","NaN","0.25","NaN","NaN","NaN","NaN","NaN","NaN","-0.04","NaN","NaN","0.83","NaN","NaN","NaN","NaN","0.49","-0.24","NaN","0.37","NaN","NaN","NaN","NaN","NaN","0.4","0.04","NaN","-0.31","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.17","-0.29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-1.02","NaN","0.33","NaN","NaN","NaN","-0.65","NaN","NaN","NaN"
"NP_060164.3:t10","MFSD6 t10","MFSD6","-0.66","NaN","0.08","-0.1","0.69","-0.27","-2.05","NaN","-2.61","-0.69","-0.2","NaN","NaN","NaN","0.97","0.09","NaN","0.4","1.25","1.15","NaN","NaN","-1.55","-1.06","NaN","0.93","NaN","-0.61","NaN","-0.33","NaN","NaN","NaN","NaN","NaN","-0.11","-0.62","0.74","NaN","-0.26","0.06","0.58","NaN","0.47","-2.32","0.91","NaN","-0.63","0.11","NaN","-0.46","0.34","NaN","NaN","NaN","1.83","0.44","0.1","-0.93","0.17","-0.68","0.56","NaN","0.78","0.03","-0.25","-0.77","NaN","0.48","0.34","-1.17","1.53","NaN","NaN","1.02","-0.06","NaN","NaN","0.62","NaN","-0.98","-0.48","0.66","NaN","NaN","NaN","0.59"
"NP_060404.4:s1783","PHIP s1783","PHIP","0.23","NaN","0.28","NaN","0.71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.59","NaN","NaN","-1.1","NaN","0.43","NaN","NaN","-0.21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.36","NaN","NaN","-0.65","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.67","NaN","NaN","-0.92","0.34","NaN","NaN","NaN","-0.68","NaN","NaN","NaN","-0.57","NaN","0.54","NaN","NaN","-0.34","NaN","NaN","NaN","NaN","NaN","1.05","-0.11","-0.65","NaN","NaN","NaN","NaN"
"NP_060404.4:t49","PHIP t49","PHIP","NaN","NaN","-1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.03","NaN","NaN","-0.09","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.33","NaN","NaN","-0.5","-0.25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.73","-0.34","-0.06","NaN","NaN","NaN","NaN"
"NP_060439.2:s377","IWS1 s377","IWS1","NaN","NaN","0.29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.57","NaN","NaN","-1.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.83","NaN","NaN","-1.49","0.09","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.25","-0.17","-0.23","NaN","NaN","NaN","NaN"
"NP_060439.2:s400","IWS1 s400","IWS1","NaN","NaN","NaN","-1.48","NaN","-1.52","NaN","NaN","-0.23","-0.82","-0.22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.91","NaN","-1.13","NaN","NaN","NaN","0.14","NaN","NaN","NaN","NaN","NaN","0.29","0","-0.84","NaN","NaN","-0.73","0.26","NaN","-0.49","-2.83","NaN","NaN","0.2","NaN","NaN","-0.66","0.12","NaN","NaN","NaN","1.55","NaN","NaN","NaN","-1.31","NaN","NaN","NaN","0.31","-0.02","NaN","-0.06","NaN","-1.42","NaN","NaN","NaN","NaN","NaN","NaN","-0.28","NaN","NaN","0.45","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"NP_060895.1:s462","PI4K2A s462","PI4K2A","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","0.64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.18","NaN","NaN","NaN","NaN","NaN","0.03","0.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","-0.44","NaN","-0.29","NaN","NaN","NaN","1.02","NaN","NaN","NaN"
